text,label
"мне нужен самый быстрый тариф за 800 рублей",1
"хочу тариф максимально быстрый на 1000 Гбит",1
"Подключите мне тариф максимальный за 800 рублей",1
"Интересует тариф максимальный с 1000 Гбит скорости",1
"какой самый быстрый интернет у вас есть за 800 рублей",1
"Подскажите могу ли я подключить тариф максимальный",1
"нужен интернет тариф на 100 Мбит за 400 рублей",2
"хочу тариф за 400 рублей с хорошей скоростью",2
"как подключить тариф на 100 Мбит за 400 рублей",2
"у вас есть тариф с 100 Мбит за 400 рублей",2
"интересует тариф мощный с интернетом 100 Мбит",2
"какие у вас есть тарифы за 400 рублей",2
"есть ли бюджетный интернет тариф на 10 Мбит",3
"интересует самый дешевый тариф на 10 Мбит",3
"можно подключить интернет за 100 рублей",3
"какой у вас тариф за 100 рублей на 10 Мбит",3
"интересует тариф честный на 10 Мбит",3
"есть тариф 10 Мбит за минимальную цену",3
"хочу подключить антивирус касперского за 100 рублей",4
"сколько стоит антивирус касперского",4
"подключите антивирус касперского за 100 рублей",4
"как подключить антивирус на месяц",4
"могу ли я установить касперского за 100 рублей",4
"интересует антивирус от касперского на месяц",4
"Нужен выделенный IP адрес сколько стоит",5
"можно ли получить выделенный IP за 100 рублей",5
"хочу заказать выделенный IP для подключения",5
"интересует услуга выделенного IP",5
"сколько стоит выделенный IP у вас",5
"мне нужен выделенный IP адрес",5
"хочу подключить личного менеджера для вопросов",6
"подскажите как подключить персонального менеджера",6
"можно ли заказать личного менеджера за 100 рублей",6
"интересует услуга менеджера для поддержки",6
"сколько стоит подключение персонального менеджера",6
"могу ли я подключить личного менеджера",6
"есть ли у вас фирменный роутер хочу заказать",7
"интересует фирменный роутер для установки",7
"могу ли я приобрести роутер у вас",7
"сколько стоит фирменный роутер для подключения",7
"хочу ваш фирменный роутер на месяц",7
"у вас есть фирменный роутер для покупки",7
"мне нужно подключить тариф максимальный с максимальной скоростью",1
"подскажите какой тариф у вас самый быстрый",1
"хочу тариф с 1000 Гбит в секунду",1
"у вас есть тариф за 400 рублей с 100 Мбит",2
"хочу мощный интернет за 400 рублей",2
"подскажите как подключить тариф за 100 рублей",3
"хочу тариф на 10 Мбит минимальная цена",3
"мне нужен антивирус для безопасности за 100 рублей",4
"интересует касперский антивирус как подключить",4
"как получить выделенный IP адрес",5
"нужен личный менеджер для консультаций",6
"сколько стоит фирменный роутер от компании",7
"интересует интернет максимальная скорость",1
"какой тариф подойдет для интернета на 100 Мбит",2
"можно ли подключить тариф на 10 Мбит и платить 100 рублей",3
